Metals	Coordination numbers
Ac	6,7,8,9,10
Ag	2,3,4
Al	4,5,6
Am	6,7,8,9,10
Au	2,3,4
Ba	6,7,8,9,10
Be	4
Bi	4,5,6
Ca	6,7,8
Cd	4,5,6
Ce	6,7,8,9,10
Cf	6,7,8,9,10
Cm	6,7,8,9,10
Co	4,5,6,10
Cr	4,5,6
Cs	6,7,8,9,10
Cu	2,3,4,5,6
Dy	6,7,8,9,10
Er	6,7,8,9,10
Eu	6,7,8,9,10
Fe	4,5,6,10
Ga	4,5,6
Gd	6,7,8,9,10
Hf	4,5,6,7,8
Hg	2,3,4
Ho	6,7,8,9,10
In	4,5,6
Ir	4,5,6,8
K	4,5,6,7,8
La	6,7,8,9,10
Li	4,5,6
Lu	5,6,7,8,9
Mg	4,5,6
Mn	4,5,6
Mo	4,5,6,7
Na	4,5,6
Nd	6,7,8,9,10
Ni	4,5,6
Os	4,5,6,8,9
Pb	4,5,6
Pd	4,5,6
Pr	6,7,8,9
Pt	4,5,6
Pu	6,7,8,9,10
Rb	6,7,8,9,10
Re	4,5,6,8
Rh	4,5,6,8
Ru	4,5,6,8,9,10
Sc	4,5,6,7,8
Sm	6,7,8,9,10
Sn	4,5,6
Sr	6,7,8
Ta	4,5,6,7,8
Tb	6,7,8,9
Th	6,7,8,9,10
Ti	4,5,6
Tl	4,5,6,7,8
Tm	6,7,8,9,10
U	5,6,7,8,9
V	4,5,6
W	4,5,6,7
Y	4,5,6,7,8,9
Yb	5,6,7,8,9
Zn	4,5,6
Zr	4,5,6,7,8
