Metals	Redox active	Oxidation state
Ac	N	3
Ag	N	1
Al	N	3
Am	N	3
Au	Y	1,3
Ba	N	2
Be	N	2
Bi	N	3
Ca	N	2
Cd	N	2
Ce	Y	3,4
Cf	N	3
Cm	N	3
Co	Y	2,3
Cr	Y	3,6
Cs	N	1
Cu	Y	1,2
Dy	N	3
Er	N	3
Eu	Y	2,3
Fe	Y	2,3
Ga	N	3
Gd	N	3
Hf	N	4
Hg	Y	1,2
Ho	N	3
In	N	3
Ir	Y	1,3,4
K	N	1
La	N	3
Li	N	1
Lu	N	3
Mg	N	2
Mn	Y	2,3,4,6,7
Mo	Y	4,6
Na	N	1
Nd	N	3
Ni	Y	1,2,3
Os	Y	2,3,4,8
Pb	Y	2,4
Pd	Y	2,4
Pr	N	3
Pt	Y	2,4
Pu	Y	3,4,5,6
Rb	N	1
Re	Y	3,4,7
Rh	Y	1,2,3
Ru	Y	2,3,4
Sc	N	3
Sm	N	3
Sn	Y	2,4
Sr	N	2
Ta	Y	2,3,4,5
Tb	N	3
Th	N	4
Ti	Y	2,3,4
Tl	Y	1,3
Tm	N	3
U	Y	4,6
V	Y	2,3,4,5
W	Y	4,6
Y	N	3
Yb	N	3
Zn	N	2
Zr	N	4
